id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
95,ensign,Flagge,"aus OCRE",ensigns,,NULL,NULL,https://www.wikidata.org/wiki/Q19912730,Ornaments,NULL,NULL
96,fillet,Binde,"aus OCRE",fillets,,NULL,NULL,https://www.wikidata.org/wiki/Q5448807,Ornaments,NULL,NULL
97,footrest,Fußstütze,NULL,footrests,,NULL,NULL,https://www.wikidata.org/wiki/Q14973416,Interieur-Furniture,NULL,NULL
98,forepart,Vorderkörper,NULL,foreparts,Protome,NULL,NULL,https://www.wikidata.org/wiki/Q2113757,BodyParts,NULL,NULL
99,"forepart of prancing horse",Pferdeprotome,NULL,NULL,,NULL,NULL,https://www.wikidata.org/wiki/Q2113757,Ornaments,NULL,NULL
100,galley,Galeere,NULL,galleys,,NULL,NULL,https://www.wikidata.org/wiki/Q188924,NauticalObject,Ship,ShipType
101,garland,Girlande,NULL,"garlands, garlanded",,NULL,NULL,https://www.wikidata.org/wiki/Q756600,Ornaments,NULL,NULL
102,garment,Kleidungsstück,NULL,garments,Kleidungstücke,NULL,NULL,https://www.wikidata.org/wiki/Q11460,Clothing,NULL,NULL
103,gate,Tor,NULL,gates,,NULL,NULL,https://www.wikidata.org/wiki/Q53060,Architecture,NULL,NULL
104,globe,Globus,NULL," globi, globus, globes",Globen,NULL,NULL,https://www.wikidata.org/wiki/Q133792,Tools,NULL,NULL
105,gold,Gold,NULL,NULL,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q897,Metal,NULL,NULL
106,gorgoneion,Gorgoneion,"Zierelement: abgeschlagens Haupt der Gorgo Medusa","gorgoneia,  gorgon",,NULL,NULL,https://www.wikidata.org/wiki/Q1161687,Architecture,ArchitecturalElements,ArchitecturalOrnaments
107,"hair bunch",Haarbündel,NULL,"hair bunches",Haarbund,NULL,NULL,https://www.wikidata.org/wiki/Q28472,BodyParts,Head,NULL
108,"hair knot",Haarknoten,NULL,"hair knots",,NULL,NULL,https://www.wikidata.org/wiki/Q28472,BodyParts,Head,NULL
109,head,Kopf,"aus OCRE",heads,,NULL,NULL,https://www.wikidata.org/wiki/Q23640,BodyParts,NULL,NULL
110,headband,Kopfband,NULL,"headbands, hair band",NULL,NULL,NULL,https://www.wikidata.org/wiki/Q934849,Ornaments,NULL,NULL
111,headdress,Kopfschmuck,NULL,headresses,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q14952,Clothing,NULL,NULL
112,helmet,Helm,NULL,"helmets, helm, Corinthian helm, helmeted",,NULL,NULL,https://www.wikidata.org/wiki/Q173603,Clothing,Headdress,NULL
113,herm,Herm,"Pfeilerschaft mit aufgesetzter Büste",herma,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q376693,Statues,NULL,NULL
114,himation,Himation,Bürgermantel,himatia,Pallium,NULL,NULL,https://www.wikidata.org/wiki/Q781731,Clothing,NULL,NULL
115,hook,Haken,NULL,hooks,NULL,NULL,NULL,https://www.wikidata.org/wiki/Q4243098,Tools,NULL,NULL
