value,link
pilos,https://www.wikidata.org/wiki/Q1778772
pincer,https://www.wikidata.org/wiki/Q840979
pincers,https://www.wikidata.org/wiki/Q840979
platform,https://www.wikidata.org/wiki/Q22079390
platforms,https://www.wikidata.org/wiki/Q22079390
plectra,https://www.wikidata.org/wiki/Q181890
plectrum,https://www.wikidata.org/wiki/Q181890
plinth,https://www.wikidata.org/wiki/Q268205
plough,https://www.wikidata.org/wiki/Q11464
ploughs,https://www.wikidata.org/wiki/Q11464
plow,https://www.wikidata.org/wiki/Q11464
plows,https://www.wikidata.org/wiki/Q11464
plumed,https://www.wikidata.org/wiki/Q81025
poloi,https://www.wikidata.org/wiki/Q2067714
polos,https://www.wikidata.org/wiki/Q2067714
pot,https://www.wikidata.org/wiki/Q3399907
pots,https://www.wikidata.org/wiki/Q3399907
"price crown",http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object
"price crowns",http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object
"price urn",http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object
"price urns",http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object
"prize crown",http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object
"prize crowns",http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object
prora,https://www.wikidata.org/wiki/Q4814120
prorae,https://www.wikidata.org/wiki/Q4814120
protome,https://www.wikidata.org/wiki/Q2113757
prow,https://www.wikidata.org/wiki/Q4814120
prows,https://www.wikidata.org/wiki/Q4814120
purse,https://www.wikidata.org/wiki/Q131740
purses,https://www.wikidata.org/wiki/Q131740
pyre,https://www.wikidata.org/wiki/Q736132
pyres,https://www.wikidata.org/wiki/Q736132
quadriga,https://www.wikidata.org/wiki/Q155987
quadrigae,https://www.wikidata.org/wiki/Q155987
quiver,https://www.wikidata.org/wiki/Q222560
quivers,https://www.wikidata.org/wiki/Q222560
radiate,https://www.wikidata.org/wiki/Q17077242
"radiate crown",https://www.wikidata.org/wiki/Q17077242
"radiate crowns",https://www.wikidata.org/wiki/Q17077242
ray,https://www.wikidata.org/wiki/Q633620
rays,https://www.wikidata.org/wiki/Q633620
rein,https://www.wikidata.org/wiki/Q2196000
reins,https://www.wikidata.org/wiki/Q2196000
rhyta,https://www.wikidata.org/wiki/Q828450
rhyton,https://www.wikidata.org/wiki/Q828450
ribbon,https://www.wikidata.org/wiki/Q6918773
ribbons,https://www.wikidata.org/wiki/Q6918773
robe,https://www.wikidata.org/wiki/Q345127
robes,https://www.wikidata.org/wiki/Q345127
rock,https://www.wikidata.org/wiki/Q8063
rocks,https://www.wikidata.org/wiki/Q8063
roll,https://www.wikidata.org/wiki/Q92311493
rolls,https://www.wikidata.org/wiki/Q92311493
roof,https://www.wikidata.org/wiki/Q83180
